wave,iso_code,continent,location,population,population_density,median_age,gdp_per_capita,new_cases,new_deaths,new_tests,icu_patients,new_vaccinations
1,AUS,Oceania,Australia,25788217.0,3.202,37.9,44648.71,7911.0,104.0,2158828.0,0.0,0.0
1,AUT,Europe,Austria,9043072.0,106.749,44.4,45436.686,17766.0,705.0,595922.0,8468.0,0.0
1,BEL,Europe,Belgium,11632334.0,375.564,41.8,42658.576,61427.0,9747.0,1274263.0,55517.0,0.0
1,BRA,South America,Brazil,213993441.0,25.04,33.5,14103.452,1402041.0,59594.0,831680.0,0.0,0.0
1,CAN,North America,Canada,38067913.0,4.037,41.4,44017.591,106025.0,8780.0,2892435.0,36269.0,0.0
1,CHL,South America,Chile,19212362.0,24.282,35.4,22767.037,279393.0,5688.0,1101769.0,0.0,0.0
1,CHN,Asia,China,1444216102.0,147.674,38.7,15308.712,73790.0,4421.0,0.0,0.0,0.0
1,COL,South America,Colombia,51265841.0,44.223,32.2,13254.949,97846.0,3334.0,390131.0,0.0,0.0
1,CRI,North America,Costa Rica,5139053.0,96.079,33.6,15524.995,3459.0,16.0,32502.0,0.0,0.0
1,CZE,Europe,Czechia,10724553.0,137.176,43.3,32605.906,11954.0,349.0,106755.0,4189.0,0.0
1,DNK,Europe,Denmark,5813302.0,136.52,42.3,46682.515,12968.0,605.0,1064589.0,4213.0,0.0
1,EST,Europe,Estonia,1325188.0,31.033,42.7,29481.252,1989.0,69.0,124996.0,646.0,0.0
1,FIN,Europe,Finland,5548361.0,18.136,42.8,40585.721,7213.0,328.0,256830.0,3367.0,0.0
1,FRA,Europe,France,67564251.0,122.578,42.0,38605.671,203390.0,29846.0,1763425.0,311601.0,0.0
1,DEU,Europe,Germany,83900471.0,237.016,46.6,45229.245,195413.0,8990.0,0.0,140711.0,0.0
1,GRC,Europe,Greece,10370747.0,83.479,45.3,24574.382,3409.0,192.0,249650.0,0.0,0.0
1,HUN,Europe,Hungary,9634162.0,108.043,43.4,26777.561,4155.0,585.0,274715.0,0.0,0.0
1,ISL,Europe,Iceland,343360.0,3.404,37.3,46482.958,1824.0,10.0,65834.0,0.0,0.0
1,IND,Asia,India,1393409033.0,450.419,28.2,6426.674,585480.0,17400.0,8473766.0,0.0,0.0
1,IDN,Asia,Indonesia,276361788.0,145.725,29.3,11188.744,56385.0,2876.0,0.0,0.0,0.0
1,IRL,Europe,Ireland,4982904.0,69.874,38.7,67335.293,25473.0,1736.0,423363.0,7093.0,0.0
1,ISR,Asia,Israel,9291000.0,402.606,30.6,33132.32,25438.0,327.0,1000499.0,0.0,0.0
1,ITA,Europe,Italy,60367471.0,205.859,47.9,35220.084,240576.0,34767.0,5385786.0,184722.0,0.0
1,JPN,Asia,Japan,126050796.0,347.778,48.2,39002.223,18590.0,974.0,390219.0,0.0,0.0
1,LVA,Europe,Latvia,1866934.0,31.212,43.9,25063.846,1118.0,30.0,150837.0,0.0,0.0
1,LTU,Europe,Lithuania,2689862.0,45.135,43.5,29524.265,1812.0,61.0,409526.0,0.0,0.0
1,LUX,Europe,Luxembourg,634814.0,231.447,39.7,94277.965,4299.0,110.0,191097.0,1445.0,0.0
1,MEX,North America,Mexico,130262220.0,66.444,29.3,17336.469,226089.0,27769.0,609690.0,0.0,0.0
1,NLD,Europe,Netherlands,17173094.0,508.544,43.2,48472.545,50483.0,6132.0,252815.0,60947.0,0.0
1,NZL,Oceania,New Zealand,5122600.0,18.206,37.9,36085.843,1528.0,22.0,396217.0,0.0,0.0
1,NOR,Europe,Norway,5465629.0,14.462,39.7,64800.057,8879.0,250.0,273637.0,0.0,0.0
1,POL,Europe,Poland,37797000.0,124.027,41.8,27216.445,34393.0,1463.0,1074523.0,0.0,0.0
1,PRT,Europe,Portugal,10167923.0,112.371,46.2,27936.896,42141.0,1576.0,1213259.0,12855.0,0.0
1,SVK,Europe,Slovakia,5460726.0,113.128,41.2,30155.152,1667.0,28.0,211825.0,0.0,0.0
1,SVN,Europe,Slovenia,2078723.0,102.619,44.5,31400.84,1600.0,111.0,103097.0,1368.0,0.0
1,ZAF,Africa,South Africa,60041996.0,46.754,27.3,12294.876,151209.0,2657.0,1618803.0,0.0,0.0
1,KOR,Asia,South Korea,51305184.0,527.967,43.4,35938.374,12839.0,282.0,1075845.0,0.0,0.0
1,ESP,Europe,Spain,46745211.0,93.105,45.5,34272.36,249271.0,28355.0,0.0,0.0,0.0
1,SWE,Europe,Sweden,10160159.0,24.718,41.0,46949.283,67924.0,5333.0,0.0,36174.0,0.0
1,CHE,Europe,Switzerland,8715494.0,214.243,43.1,57410.166,31714.0,1809.0,226318.0,14777.0,0.0
1,TUR,Asia,Turkey,85042736.0,104.914,31.6,25129.341,199906.0,5131.0,3341360.0,0.0,0.0
